nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Brasil,213993437,8515767,América
Estados Unidos,331893745,9833517,América
México,126014024,1964375,América
Canadá,38246108,9984670,América
Chile,19458310,756102,América
Colombia,51049498,1141748,América
Perú,33035304,1285216,América
Alemania,83149300,357022,Europa
España,47351567,505990,Europa
Francia,67842582,643801,Europa
Italia,58983122,301340,Europa
Reino Unido,67326569,243610,Europa
Portugal,10347892,92212,Europa
Japón,125800000,377975,Asia
China,1412360000,9596961,Asia
India,1380004385,3287263,Asia
Indonesia,273523615,1904569,Asia
Corea del Sur,51780579,100210,Asia
Nigeria,206139589,923768,África
Egipto,102334404,1010408,África
Sudáfrica,59308690,1221037,África
Marruecos,36910560,446550,África
Australia,25687041,7692024,Oceanía
Nueva Zelanda,5084300,268838,Oceanía
Prueba1,10,100,America
